text,intent,slots
Where can I get more health?,AnswerQuestion,O O O O O O
whre can i get more heath?,AnswerQuestion,O O O O O O
How should I get better armor?,AnswerQuestion,O O O O O O
how shuld i get beter armo?,AnswerQuestion,O O O O O O
How do I train?,AnswerQuestion,O O O O
Can I fast travel?,AnswerQuestion,O O O O
Which dungeon is the hardest?,AnswerQuestion,O O O O O
whch dung is the hardest?,AnswerQuestion,O O O O O
How can I get somewhere fast?,AnswerQuestion,O O O O O O
Where can I heal myself?,AnswerQuestion,O O O O O
Where can I buy potions?,AnswerQuestion,O O O O O
Where can I buy potons?,AnswerQuestion,O O O O O
Where can I upgrade my weapons?,AnswerQuestion,O O O O O O
Where can I repair my weapons?,AnswerQuestion,O O O O O O
Where can I upgrade my armor?,AnswerQuestion,O O O O O O
Where can I repair my armor?,AnswerQuestion,O O O O O O
Where can I train more?,AnswerQuestion,O O O O O
Where can I fight creatures?,AnswerQuestion,O O O O O
Where can I go swim?,AnswerQuestion,O O O O O
Where heal?,AnswerQuestion,O O
Where is heal?,AnswerQuestion,O O O
Healing where?,AnswerQuestion,O O
Hling where?,AnswerQuestion,O O
How can i heal?,AnswerQuestion,O O O O
Where is teleport?,AnswerQuestion,O O O
How can i go deep sea?,AnswerQuestion,O O O O O O
How can i go to dungeon?,AnswerQuestion,O O O O O O
Where can i find armor?,AnswerQuestion,O O O O O
Where is armor?,AnswerQuestion,O O O
How can i buy armor?,AnswerQuestion,O O O O O
Buy armor?,AnswerQuestion,O O
I need healfh?,AnswerQuestion,O O O
I need hdalth potions?,AnswerQuestion,O O O O
Potion hp where?,AnswerQuestion,O O O
I need weapons where can i get?,AnswerQuestion,O O O O O O O
Weapons where?,AnswerQuestion,O O
Wrapons?,AnswerQuestion,O
Deep sea drops?,AnswerQuestion,B-location I-location O
Deep sea recomended lvl ?,AnswerQuestion,B-location I-location O O
What can I do at the Healing Shrine?,AnswerQuestion,O O O O O O B-location I-location
What can I use to travel to another place fast?,AnswerQuestion,O O O O O O O O O O
How can I deal more damage?,AnswerQuestion,O O O O O O
How can I take less damage?,AnswerQuestion,O O O O O O
What can I buy to move faster on foot?,AnswerQuestion,O O O O O O O O O
Where can I advance my character?,AnswerQuestion,O O O O O O
How can I become king?,AnswerQuestion,O O O O O
How can I learn how to play?,AnswerQuestion,O O O O O O O
How can I become a dragonslayer?,AnswerQuestion,O O O O O O
Where can I heal myself?,AnswerQuestion,O O O O O
Where can I get better items?,AnswerQuestion,O O O O O O
What boss is dropping a sword?,AnswerQuestion,O O O O O O
Can I upgrade my skills?,AnswerQuestion,O O O O O
How can I upgrade my skills?,AnswerQuestion,O O O O O O
What are the requirements of beating the dragon?,AnswerQuestion,O O O O O O O O
Can I increase my max health?,AnswerQuestion,O O O O O O
heal hp,AnswerQuestion,O O
better items,AnswerQuestion,O O
Where is the armor shop?,AnswerQuestion,O O O B-location I-location
Where is the weapon shop?,AnswerQuestion,O O O B-location I-location
Where is the potion shop?,AnswerQuestion,O O O B-location I-location
Whre is the potion shop?,AnswerQuestion,O O O B-location I-location
Is there a place to heal at?,AnswerQuestion,O O O O O O O
My HP is low.,AnswerQuestion,O O O O O
I need to recover my health.,AnswerQuestion,O O O O O O
How can I travel faster?,AnswerQuestion,O O O O O
Is there a way to travel instantly?,AnswerQuestion,O O O O O O O
How do I cover a large distance in a short amount of time?,AnswerQuestion,O O O O O O O O O O O O O
How do I get better weapons?,AnswerQuestion,O O O O O O
I need to improve my weapon arsenal.,AnswerQuestion,O O O O O O O
Can I enhance my weapons at the weapon shop?,AnswerQuestion,O O O O O O O B-location I-location
Where can i get better armor from?,AnswerQuestion,O O O O O O O
My current armor is too weak.,AnswerQuestion,O O O O O O
I need a place to repair my equipment.,AnswerQuestion,O O O O O O O O
What level is equipment from the armor shop?,AnswerQuestion,O O O O O O B-location I-location
Is there a plsce that sell consumables?,AnswerQuestion,O O O O O O O
I want to stock up on potions Where can I do that?,AnswerQuestion,O O O O O O O O O O O O
I am running low on potions I need a place that sells some.,AnswerQuestion,O O O O O O O O O O O O O
Where is the Deep Sea Dungeon?,AnswerQuestion,O O O B-location I-location I-location
What can you tell me about the deep sea dungeon?,AnswerQuestion,O O O O O O O B-location I-location I-location
Is there an underwater dungeon?,AnswerQuestion,O O O B-location I-location
What is the recommended level for Castle of Doom?,AnswerQuestion,O O O O O O B-location I-location I-location
What does the final boss from Castle Of Doom drop?,AnswerQuestion,O O O O O O B-location I-location I-location O
Where can I learn the gameplay mechanics?,AnswerQuestion,O O O O O O O
I need a place to train myself Where can I do that?,AnswerQuestion,O O O O O O O O O O O O
Is there a tutorial available?,AnswerQuestion,O O O O O
What is the minimum level requirement for the dragon dungeon.,AnswerQuestion,O O O O O O O O B-location I-location
What location contains a dragon boss?,AnswerQuestion,O O O O O O
